"year","organisation","critical_industry","organisation_size","level_of_digital_intensity","sector","country","cyber_security_role","cyber_security_frameworks","education_and_awareness_policy","policy","prevention_detection_and_recovery","improper_network_segmentation","absence_of_encryption","detector","restructuring_after_attack","bribe_ransom_paid","free_identity_or_credit_theft_monitoring","additional_disclosure_of_information","number_of_users_affected","overall_nature_of_attack","attack_type","attacker","attack_vector","impact_on_data","aspect_of_confidentiality_integrity_availability_triad_affected","individual_s_name_s_leaked_exposed","address_es_leaked_exposed","other_personally_identifiable_information_pii_leaked_exposed","track_1_credit_card_details_leaked_exposed","track_2_credit_card_details_leaked_exposed","social_security_number_tax_number_leaked_exposed","subsequent_fraudulent_use_of_data","investigation","undertook_investigation","litigation_by_public","penalties_settlement_paid_or_actions_imposed","imposed_penalties_or_actions_on_organisation","fines_issued_by_government_or_relevant_body","settlement_paid"
2008,"University of Miami","No","Large","Low-Medium","Education","USA","No","No","No","Yes","Medium","No","No","Organisation","Yes","No","No","Yes",2e+06,"Type 3","Physical Theft","External","Physical device","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","No","No","No","No","No"
2007,"University of Missouri","No","Large","Low-Medium","Education","USA","No","No","No","Yes","Medium","Yes","Yes","Organisation","NA","No","No","Yes",22396,"Type 4","Web compromise","External","Insufficient input validation","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2009,"University of North Carolina, Chapel Hill","No","Large","Low-Medium","Education","USA","No","No","No","Yes","Low","Yes","Yes","Organisation","Yes","No","No","Yes",163000,"NA","Unknown","External","Unknown network attack","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","No","No","No","No","No"
2010,"University of North Florida","No","Large","Low-Medium","Education","USA","No","No","No","Yes","Low","Yes","Yes","Organisation","Yes","No","No","Yes",106884,"NA","Unknown","External","Unknown network attack","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2012,"University of North Florida","No","Large","Low-Medium","Education","USA","No","No","No","Yes","Low","Yes","Yes","Organisation","No","No","Yes","No",23246,"NA","Unknown","External","Unknown network attack","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2015,"University of Oklahoma Department of Urology","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","No","Yes","Organisation","Yes","No","No","No",9300,"Type 3","Physical Theft","External","Physical device","Low","Confidentiality","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
2015,"University of Oklahoma, Department of Obstetrics  Gynaecology","Yes","Unknown","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","No","Yes","Organisation","Yes","No","Yes","No",7693,"Type 3","Physical Theft","External","Physical device","Low","Confidentiality","Yes","No","No","No","No","Yes","No","Yes","Yes","No","No","No","No","No"
2006,"University of Texas McCombs  School of Business","No","Large","Low-Medium","Education","USA","No","No","No","Yes","Medium","Yes","Yes","Organisation","NA","No","No","Yes",197000,"NA","Unknown","External","Unknown network attack","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2008,"University of Utah Hospitals & Clinics","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","No","Yes","Organisation","Yes","No","Yes","No",2200000,"Type 3","Physical Theft","External","Physical device","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2011,"University of Wisconsin - Milwaukee","No","Large","Low-Medium","Education","USA","No","No","No","Yes","Medium","NA","NA","Organisation","Yes","No","Yes","Yes",75000,"Type 1","Installed malware","External","Unknown network attack","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","No","No","No","No","No"
2014,"University Pittsburgh Medical Center","Yes","Large","Low-Medium","Human health activities","USA","Yes","No","No","Yes","Medium","No","Yes","Organisation","Yes","No","Yes","No",27000,"NA","Unknown","External","NA","High","Confidentiality","Yes","Yes","Yes","No","No","Yes","Yes","Yes","No","Yes","No","No","No","No"
2017,"Urology Austin","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","NA","NA","Organisation","Yes","No","No","No",279663,"Type 1","Installed malware","External","Unknown network attack","High","Availability","Yes","No","Yes","Yes","No","Yes","No","No","No","No","No","No","No","No"
2012,"US Army Fort Monmouth","Yes","Large","Medium-High","Public administration and defence","USA","Yes","No","No","Yes","Medium","NA","NA","Organisation","Yes","No","Yes","No",36000,"NA","Unknown","External","Unknown network attack","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2014,"US Investigations Services (USIS)","Yes","Large","Medium-High","Public administration and defence","USA","No","No","No","Yes","Low","Yes","Yes","Organisation","No","No","No","No",25000,"NA","Unknown","External","NA","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2014,"US Postal Service","Yes","Large","Medium-High","Public administration and defence","USA","Yes","No","No","Yes","Low","Yes","Yes","Organisation","Yes","No","Yes","No",8e+05,"NA","Unknown","External","Unknown network attack","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","No","No","No","No","No"
2012,"Utah Department of Technology Services","Yes","Unknown","Medium-High","Public administration and defence","USA","No","No","No","Yes","High","Yes","Yes","Organisation","Yes","No","No","No",280000,"Type 2","Misuse of resources","External","Insufficient authentication validation","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","Yes","Yes","No","Yes","Yes","No","No"
2012,"Utah Medicaid","Yes","Unknown","Low-Medium","Human health activities","USA","No","No","No","Yes","Low","Yes","Yes","Organisation","Yes","No","Yes","NA",181604,"Type 4","Web compromise","External","Unknown network attack","High","Confidentiality","Yes","Yes","Yes","No","No","Yes","Yes","No","No","No","No","No","No","No"
2016,"uTorrent","Yes","Unknown","High","IT and other information services","USA","No","No","No","Yes","Low","No","No","Organisation","No","No","No","Yes",350000,"Type 2","Misuse of resources","External","Vendor vulnerability","Low","Confidentiality","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
2016,"Valley Anaesthesiology & Pain Consultants","Yes","Unknown","Low-Medium","Human health activities","USA","No","No","No","Yes","Low","NA","Yes","Organisation","Yes","No","Yes","No",882590,"NA","Unknown","External","Unknown network attack","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2009,"Valley Kaiser, Kaiser Permanente","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","No","No","Organisation","Yes","No","NA","NA",15500,"Type 3","Physical Theft","External","Physical device","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2019,"Verity Health System of California, Inc.","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","No","Yes","Organisation","Yes","No","Yes","Yes",14894,"Type 2","Unknown","External","Social engineering","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2014,"Veterans of Foreign Wars of the U.S.","No","Unknown","Low-Medium","Residential care and social work activities","USA","No","No","No","Yes","Low","Yes","Yes","Organisation","Yes","No","Yes","Yes",55000,"Type 1","Installed malware","External","Unknown website/web application attack","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2014,"Viator","No","Large","High","Advertising and other business services","USA","No","No","No","Yes","Low","NA","Yes","Credit card/bank","Yes","No","Yes","Yes",1400000,"Type 4","Web compromise","External","Unknown website/web application attack","High","Confidentiality","Yes","Yes","No","Yes","NA","Yes","Yes","No","No","No","No","No","No","No"
2018,"ViewFines","Yes","Unknown","Medium-High","Public administration and defence","South Africa","No","No","No","Yes","Low","Yes","Yes","Federal Agency","Yes","No","No","No",934000,"NA","Unknown","External","Unknown network attack","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","No","Yes","Yes","No","No"
2011,"Virginia Commonwealth University","No","Large","Low-Medium","Education","USA","No","No","No","Yes","Medium","NA","NA","Organisation","Yes","No","No","No",176567,"Type 1","Installed malware","External","Unknown network attack","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2009,"Virginia Commonwealth University","No","Large","Low-Medium","Education","USA","No","No","No","Yes","Low","No","NA","Organisation","NA","No","NA","NA",17214,"Type 3","Physical Theft","External","Physical device","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","No","Yes","No","Yes","No"
2017,"VisionQuest Eyecare","Yes","Small","Low-Medium","Human health activities","USA","No","No","No","Yes","Low","Yes","Yes","Organisation","Yes","No","No","No",85995,"NA","Unknown","External","Unknown network attack","High","Confidentiality","Yes","No","Yes","No","No","Yes","Yes","No","No","No","No","No","No","No"
2016,"VK","Yes","Large","High","IT and other information services","Russia","No","No","No","Yes","Low","Yes","Yes","Public","Yes","No","No","No",1.71e+08,"Type 4","Web compromise","External","Unknown network attack","High","Confidentiality","Yes","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No"
2012,"VNA Health Care Hartford Hospital","Yes","Unknown","Low-Medium","Human health activities","USA","No","No","No","Yes","Low","No","No","Organisation","No","No","Yes","No",10000,"Type 3","Physical Theft","External","Physical device","High","Confidentiality","Yes","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No"
2013,"Vodafone","Yes","Large","High","Telecommunications","Germany","No","No","No","Yes","Low","Yes","Yes","Organisation","Yes","No","No","No",2e+06,"NA","Unknown","External","Unknown network attack","Medium","Confidentiality","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No"
2016,"Voya Financial Advisor's Inc.","Yes","Medium","High","Finance and insurance","USA","Yes","No","No","Yes","Medium","No","No","Organisation","Yes","No","No","No",5600,"Type 2","Misuse of resources","External","Social engineering","Low","Confidentiality","Yes","No","Yes","No","No","No","No","Yes","Yes","No","Yes","Yes","Yes","No"
2015,"VTech","Yes","Large","Medium-High","Computer, electronic and optical products","USA","No","No","No","Yes","Low","Yes","Yes","Organisation","Yes","No","No","No",650000,"Type 2","Unknown","External","Insufficient authentication validation","Low","Confidentiality","Yes","No","Yes","No","No","No","No","Yes","Yes","No","Yes","Yes","Yes","No"
2005,"Wachovia Bank","Yes","Large","High","Finance and insurance","USA","No","No","No","NA","Low","No","No","NA","NA","No","Yes","Yes",48000,"Type 5","Misuse of resources","Internal","Inappropriate use of privilege","High","Confidentiality","Yes","Yes","Yes","Yes","NA","Yes","Yes","Yes","Yes","No","No","No","No","No"
2011,"Washington Post","No","Large","Medium-High","Arts, entertainment and recreation","USA","No","No","No","Yes","Medium","NA","NA","Organisation","Yes","No","No","Yes",1270000,"NA","Unknown","External","NA","Low","Confidentiality","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
2017,"Washington State University","No","Large","Low-Medium","Education","USA","No","No","No","Yes","Medium","No","Yes","Organisation","Yes","No","Yes","No",1193190,"Type 3","Physical Theft","External","Physical device","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","Yes","No","Yes","Yes","No","No","Yes"
2017,"Washington University School of Medicine","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Low","Yes","Yes","Organisation","Yes","No","No","No",80270,"Type 2","Misuse of resources","External","Social engineering","Low","Confidentiality","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
2017,"We Heart It","No","Medium","Medium-High","Arts, entertainment and recreation","USA","No","No","No","Yes","Low","Yes","Yes","Federal Agency","Yes","No","No","Yes",8e+06,"Type 2","Unknown","External","Social engineering","Low","Confidentiality","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
2015,"Web.com","No","Large","High","Advertising and other business services","USA","No","No","No","Yes","Low","Yes","Yes","Organisation","Yes","No","Yes","No",93000,"NA","Unknown","External","Unknown network attack","High","Confidentiality","Yes","No","Yes","Yes","NA","Yes","No","Yes","Yes","No","No","No","No","No"
2017,"Weebly","No","Large","Medium-High","Arts, entertainment and recreation","USA","No","No","No","Yes","Low","Yes","Yes","Organisation","Yes","No","No","No",43430316,"NA","Unknown","External","NA","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2018,"West Hills Hospital & Medical Center","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Low","Yes","Yes","Organisation","No","No","No","Yes",185000,"Type 2","Unknown","External","Vendor vulnerability","High","Confidentiality","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No"
2007,"Western Union","Yes","Large","High","Finance and insurance","USA","No","No","No","NA","Low","NA","NA","Organisation","NA","No","Yes","NA",20000,"Type 2","Misuse of resources","External","NA","High","Confidentiality","Yes","No","No","Yes","NA","No","No","No","No","No","No","No","No","No"
2017,"Wishbone","Yes","Unknown","Medium-High","Machine equipment","USA","No","No","No","Yes","Medium","NA","Yes","Organisation","Yes","No","No","Yes",2200000,"NA","Unknown","External","Unknown network attack","Low","Confidentiality","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
2017,"Women's Health Care Group of Pennsylvania","Yes","Unknown","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","NA","NA","Organisation","Yes","No","No","No",3e+05,"Type 1","Installed malware","External","Unknown network attack","High","Availability","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","No","No","No","No","No"
2017,"Wonga","Yes","Large","High","Finance and insurance","UK","No","No","No","Yes","Low","NA","NA","Organisation","No","No","No","Yes",245000,"NA","Unknown","External","Unknown network attack","High","Confidentiality","Yes","Yes","Yes","Yes","NA","No","No","No","No","No","No","No","No","No"
2010,"Wyndham","No","Large","Low","Accommodation and food service activities","Global","No","No","No","Yes","Low","Yes","Yes","Organisation","Yes","No","Yes","Yes",619000,"Type 2","Unknown","External","Social engineering","High","Confidentiality","Yes","No","No","Yes","NA","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No"
2013,"Yahoo","Yes","Large","High","IT and other information services","USA","Yes","No","No","Yes","Medium","NA","NA","Organisation","Yes","No","Yes","Yes",3e+09,"NA","Unknown","External","NA","Low","Confidentiality","Yes","No","Yes","No","No","No","No","Yes","Yes","Yes","Yes","No","No","Yes"
2014,"Yahoo","Yes","Large","High","IT and other information services","USA","Yes","No","No","Yes","Low","Yes","Yes","Organisation","Yes","No","Yes","Yes",5e+08,"Type 2","Misuse of resources","External","Social engineering","Low","Confidentiality","Yes","No","Yes","No","No","No","No","Yes","Yes","Yes","Yes","No","No","Yes"
2012,"Yahoo Voices","Yes","Unknown","High","IT and other information services","USA","No","No","No","Yes","Medium","NA","Yes","Organisation","Yes","No","No","No",453491,"Type 4","Web compromise","External","Insufficient input validation","Low","Confidentiality","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
2014,"Yandy.com","No","Medium","Medium-High","Wholesale, retail trade and repair","USA","No","No","No","Yes","Medium","NA","Yes","Organisation","Yes","No","Yes","Yes",44724,"Type 4","Web compromise","External","Unknown website/web application attack","High","Confidentiality","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No"
2006,"YMCA of Greater Providence","No","Unknown","Low-Medium","Residential care and social work activities","USA","No","No","No","Yes","Low","No","Yes","Organisation","No","No","No","No",65000,"Type 3","Physical Theft","External","Physical device","High","Confidentiality","Yes","Yes","Yes","Yes","NA","Yes","No","No","No","No","No","No","No","No"
2012,"Zappos","No","Large","Low-Medium","Textiles, wearing apparel and leather","USA","No","No","No","Yes","Low","NA","NA","Organisation","NA","No","No","NA",2.4e+07,"Type 4","Web compromise","External","Unknown network attack","Medium","Confidentiality","Yes","Yes","Yes","No","No","No","No","Yes","Yes","Yes","Yes","No","No","Yes"
2017,"Zomato","No","Large","High","Advertising and other business services","USA","No","No","No","Yes","Low","NA","NA","Organisation","NA","No","No","No",1.7e+07,"Type 2","Misuse of resources","External","NA","High","Confidentiality","Yes","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No"
